Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
682,Kiev Ariza,https://scholar.google.co.uk/citations?hl=en&user=owkkXdgAAAAJ,"Lecturer in Emerging Markets Coventry Business School, Coventry University",For-Profit Higher Education Brexit Smart Cities ,0
683,Waleed Tayyab Buttar,https://scholar.google.co.uk/citations?hl=en&user=TL-pEBQAAAAJ,"Coventry University, UK",International Business and Entrepreneurship Innovation Strategy IT Blockchain ,0
684,Tharumini Weerakoon,https://scholar.google.co.uk/citations?hl=en&user=Qfd-szUAAAAJ,"Psychology Graduate, Coventry University",Health Psychology Clinical Psychology ,0
685,Romit Bhandari,https://scholar.google.co.uk/citations?hl=en&user=PRndZGEAAAAJ,Coventry University,International Refugee Law Human Rights Critical Legal Theory Postcolonial Studies ,0
686,Enzo Iglésis,https://scholar.google.co.uk/citations?hl=en&user=14TcoBYAAAAJ,"Ph.D. Student, Coventry University and Paris Saclay University",Fault Estimation UAV Estimation Filter ,0
687,Marcel Loeve,https://scholar.google.co.uk/citations?hl=en&user=6OJDLyoAAAAJ,"Student, Coventry University",Information Technology ,0
688,Ian Cornelius,https://scholar.google.co.uk/citations?hl=en&user=feA_m0gAAAAJ,Coventry University,Machine Vision Stochastic Models Pattern Analysis Pattern Recognition ,0
689,Ali Alperen BAKIR,https://scholar.google.co.uk/citations?hl=en&user=vYyxK_4AAAAJ,Ph.D. Candidate at Coventry University and NSIRC&TWI,Additive Manufacturing ,0
690,Tuğba Bülbül,https://scholar.google.co.uk/citations?hl=en&user=MaBbWtgAAAAJ,Coventry University,cancer biology immunobiology immunotherapy tumour immunology genetic deficiencies ,0
691,Rajesh Siraskar,https://scholar.google.co.uk/citations?hl=en&user=x83-D08AAAAJ,Coventry University,Machine Learning Reinforcement Learning Control Systems ,0
692,Gilbert Zana Naab,https://scholar.google.co.uk/citations?hl=en&user=TmGPZQQAAAAJ,"Lecturer, Coventry University",Enterprise and Entrepreneurship Development Finance Poverty Reduction Public Policy Livelihoods ,0
693,Vishal Sharma,https://scholar.google.co.uk/citations?hl=en&user=prMhPm8AAAAJ,"Visiting Researcher, Coventry University",Ideological Studies Area Studies ,0
694,Benoit Granier,https://scholar.google.co.uk/citations?hl=en&user=mOTywDEAAAAJ,"senior lecturer, coventry university",compostion electronic music music and culture ,0
695,Luke D. Graham,https://scholar.google.co.uk/citations?hl=en&user=3is_mUAAAAAJ,"Lecturer in Law, Coventry University",Human Rights Economic Social and Cultural Rights Destitution Right to Clothing ,0
696,Dr Heliza Abdul Hami,https://scholar.google.co.uk/citations?hl=en&user=XgGkA1QAAAAJ,"Lecturer in enterprise and entrepreneurship, Coventry University",entrepreneurship young entrepreneur opportunity identification ,0
697,Ben Cotterill,https://scholar.google.co.uk/citations?hl=en&user=-lZihQgAAAAJ,Coventry University,,0
698,Sunita Dewitt,https://scholar.google.co.uk/citations?hl=en&user=ZvwRh5oAAAAJ,"Assistant Professor of Entrepreneurship, Coventry University International Centre for …",Entrepreneurship female entrepreneurship International Business Ethnic Entrepreneurship Sustainability ,0
